"electorate","province_code","district_code","district_number","pc_code","pc_number","ps_code","ps_type","prelim_reporting"
"General","01","0101","01","0101102","102","0101102-01","M","YES"
"General","01","0101","01","0101102","102","0101102-02","M","YES"
"General","01","0101","01","0101102","102","0101102-03","F","YES"
"General","01","0101","01","0101103","103","0101103-01","M","YES"
"General","01","0101","01","0101103","103","0101103-02","M","YES"
"General","01","0101","01","0101103","103","0101103-03","M","YES"
"General","01","0101","01","0101103","103","0101103-04","M","YES"
"General","01","0101","01","0101103","103","0101103-05","F","YES"
"General","01","0101","01","0101103","103","0101103-06","F","YES"
"General","01","0101","01","0101104","104","0101104-01","M","YES"
"General","01","0101","01","0101104","104","0101104-02","M","YES"
"General","01","0101","01","0101104","104","0101104-03","M","YES"
"General","01","0101","01","0101104","104","0101104-04","M","YES"
"General","01","0101","01","0101104","104","0101104-05","M","YES"
"General","01","0101","01","0101104","104","0101104-06","M","YES"
"General","01","0101","01","0101104","104","0101104-07","F","YES"
"General","01","0101","01","0101104","104","0101104-08","F","YES"
"General","01","0101","01","0101105","105","0101105-01","M","YES"
"General","01","0101","01","0101105","105","0101105-02","M","YES"
